"DateTime","valvePos","Campbell","Aerodyne","LosGatos","AeroExcess_Avg"
2016-03-22 13:09:53,4,"Chm2","Chm3","Chm4",-116.8
2016-03-22 13:11:54,4,"Chm8","Chm8","Chm4",-141
2016-03-22 13:13:55,4,"Chm2","Chm3","Chm4",-113.7
2016-03-22 13:15:56,4,"Chm8","ABGD","Chm5",237.2
2016-03-22 13:17:57,4,"Chm8","Chm8","Chm5",-143.1
2016-03-22 13:20:08,4,"Chm3","Chm4","Chm5",-115.6
2016-03-22 13:22:09,4,"Chm8","Chm8","Chm5",-113
2016-03-22 13:24:10,4,"Chm3","Chm4","Chm5",-118
2016-03-22 13:26:11,4,"Chm8","Chm8","Chm5",-116.8
2016-03-22 13:28:12,4,"Chm3","Chm4","Chm5",-130.2
2016-03-22 13:30:13,4,"Chm8","CAL1","Chm6",37.13
2016-03-22 13:32:14,4,"Chm8","CAL0","Chm6",-204
2016-03-22 13:32:16,4,"Chm8","ABGD","Chm6",123.4
2016-03-22 13:34:17,4,"Chm8","Chm8","Chm6",-144.1
2016-03-22 13:36:28,4,"Chm4","Chm5","Chm6",-172.3
2016-03-22 13:38:29,4,"Chm8","Chm8","Chm6",-118.3
2016-03-22 13:40:30,4,"Chm4","Chm5","Chm6",-122.6
2016-03-22 13:42:31,4,"Chm8","Chm8","Chm6",-123.3
2016-03-22 13:44:32,4,"Chm4","Chm5","Chm6",-172.8
2016-03-22 13:46:33,4,"Chm8","ABGD","Chm7",125.5
2016-03-22 13:48:34,4,"Chm8","Chm8","Chm7",-210.3
2016-03-22 13:50:45,4,"Chm5","Chm6","Chm7",-116.8
2016-03-22 13:52:46,4,"Chm8","Chm8","Chm7",-116.6
2016-03-22 13:54:47,4,"Chm5","Chm6","Chm7",-142.2
2016-03-22 13:56:48,4,"Chm8","Chm8","Chm7",-120.4
2016-03-22 13:58:49,4,"Chm5","Chm6","Chm7",-116.5
2016-03-22 14:00:50,4,"Chm8","ABGD","Chm1",96.5
2016-03-22 14:02:51,4,"Chm8","Chm8","Chm1",-143.1
2016-03-22 14:05:02,4,"Chm6","Chm7","Chm1",-138.4
2016-03-22 14:07:03,4,"Chm8","Chm8","Chm1",-128.5
2016-03-22 14:09:04,4,"Chm6","Chm7","Chm1",-123.5
2016-03-22 14:11:05,4,"Chm8","Chm8","Chm1",-129.5
2016-03-22 14:13:06,4,"Chm6","Chm7","Chm1",-124.6
2016-03-22 14:15:07,4,"Chm8","ABGD","Chm2",114.5
2016-03-22 14:17:08,4,"Chm8","Chm8","Chm2",-143
2016-03-22 14:19:19,4,"Chm7","Chm1","Chm2",-108.3
2016-03-22 14:21:20,4,"Chm8","Chm8","Chm2",-139.9
2016-03-22 14:23:21,4,"Chm7","Chm1","Chm2",-108.3
2016-03-22 14:25:22,4,"Chm8","Chm8","Chm2",-139.7
2016-03-22 14:27:23,4,"Chm7","Chm1","Chm2",-108
2016-03-22 14:29:24,4,"Chm8","Chm8","Chm8",-139.6
